Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Planet_radius,Planet_mass,Temperature_day_K,Temperature_equilibrium_K,log10_gravity,Period,Transit_Duration,K_magnitude_brightness,Distance,Effective_temperature_star,log10_gravity_star,Transit_Flag,Catalog_Name
TOI 664.01,,,,1.21,,,1186,,4.7359,7.1084,6.1,99.16,5326,,TRUE,toi
TOI 119.02,0,0.003,,0.16,,886,745,,10.6917,3.2283,8,66.62,5130,4.545,TRUE,toi
TOI 830.01,0.007,0.104,,2.09,,991,833,,15.0405,2.3029,9.9,222.99,5909,4.431,TRUE,toi
TOI 420.01,0.005,0.006,,0.44,,1596,1342,,2.3007,2.579,9.5,145.41,5567,4.574,TRUE,toi
TOI 1293.01,0.019,0.01,,0.34,,2118,1781,,1.685,0.796,9.9,239.98,5923,4.385,TRUE,toi
TOI 1257.01,0.141,0.124,,1.3,,1810,1522,,5.4526,3.5281,9.2,249.32,6509,4.172,TRUE,toi
TOI 1314.01,,,,0.7,,,1397,,2.64,2.824,8.6,285.36,5155,,TRUE,toi
TOI 1083.01,0,0.001,,0.29,,489,411,,12.9803,2.0131,9.9,68.91,3551,4.745,TRUE,toi
TOI 402.01,0.002,0.01,,0.15,,1182,994,,4.756,2.5733,7,44.82,5175,4.532,TRUE,toi
TOI 341.01,0.043,0.043,,1.03,,1625,1366,,1.8138,1.113,11.8,415.55,4775,4.379,TRUE,toi
TOI 780.01,0.113,0.191,,1.23,,1476,1241,,3.0524,2.628,9.7,163.37,5546,4.538,TRUE,toi
TOI 1384.01,0.207,0.035,,0.44,,3657,3075,,0.7131,1.809,8.8,235.22,5773,3.882,TRUE,toi
TOI 918.01,0.154,0.024,,0.57,,3814,3207,,1.114,2.708,9.8,549.87,5614,3.496,TRUE,toi
Kepler-1900 b,0,0,0.003,0.14,0.0103,1761,1481,3.084,2.9862,2.969,13.8,1540.43,6173,4.45,TRUE,nexsci
TOI 102.01,0.242,0.269,,1.39,,1689,1420,,4.4119,3.7764,8.9,175.63,6391,4.377,TRUE,toi
TOI 586.01,,,,2.5,,1850,1555,,22.6385,4.006,7.9,253.02,9511,4.055,TRUE,toi
TOI 963.01,0.005,0.037,,0.8,,1094,920,,11.118,4.439,9.7,203.87,5815,4.402,TRUE,toi
TOI 1118.01,,,,,,,1386,,4.1381,3.911,8.9,,,,TRUE,toi
TOI 1247.01,0,0.008,,0.19,,962,809,,15.9235,4.9889,7.5,73.87,5712,4.383,TRUE,toi
TOI 323.01,0.003,0.011,,0.52,,1237,1040,,2.7724,1.71,11.7,315.14,4558,4.516,TRUE,toi
TOI 858.01,0.218,0.174,,1.23,,1823,1533,,3.2797,3.406,9.7,250.49,5857,4.237,TRUE,toi
TOI 615.01,0.375,0.206,,1.71,,2181,1834,,4.6616,4.096,9.7,360.41,7437,4.206,TRUE,toi
TOI-451 b,0.008,0.007,0.038,0.17,0.0136,1775,1492,3.067,1.8587,2.0376,9.2,123.74,5550,4.56,TRUE,nexsci
TOI 288.01,,,,0.8,,406,341,,711.7447,6.204,8.3,215.39,6530,3.956,TRUE,toi
